image,velocity,angular_velocity,x,y
0.png,0.0,0.0,-7.0000128100404595,-7.299999503231035
1.png,0.0,0.0,-7.0000128100404595,-7.299999503231035
2.png,0.0,0.0,-7.0000127983574805,-7.299999504236717
3.png,0.0,0.0,-7.000012771110778,-7.29999948793404
4.png,0.0,0.0,-7.0000128933563825,-7.299999495126562
5.png,0.0,0.0,-7.00001287113124,-7.299999496208877
6.png,0.0,0.0,-7.000012910109863,-7.29999948630112
7.png,0.015,0.0,-7.00001290407251,-7.299999476919724
8.png,0.02,0.0,-6.998848195390034,-7.299992298263798
9.png,0.025,0.0,-6.997330785020941,-7.299982918057295
10.png,0.034999999999999996,0.0,-6.992621634002752,-7.299953763926774
11.png,0.04499999999999999,0.0,-6.988563043983361,-7.299928666145457
12.png,0.054999999999999986,0.0,-6.985502541502103,-7.29990967515378
13.png,0.06499999999999999,0.0,-6.976190535725637,-7.299852004704853
14.png,0.06999999999999999,0.0,-6.967532805165269,-7.299798289339709
15.png,0.07500000000000001,0.0,-6.960405660298215,-7.2997540456849235
16.png,0.08,0.0,-6.95293772823281,-7.2997076276768285
17.png,0.085,0.0,-6.942240875657631,-7.299641105816351
18.png,0.09,0.0,-6.933753603122358,-7.299588263868925
19.png,0.09,0.0,-6.924756379134334,-7.299532211078796
20.png,0.09,0.0,-6.924756379134334,-7.299532211078796
21.png,0.09,0.0,-6.921696465698905,-7.299513127396574
22.png,0.09999999999999999,0.0,-6.9062397938297595,-7.2994166909264155
23.png,0.09999999999999999,0.0,-6.896392960039072,-7.299355168022145
24.png,0.09999999999999999,0.0,-6.882792396729291,-7.299270133087512
25.png,0.09999999999999999,0.0,-6.872591992469024,-7.299206258812777
26.png,0.09999999999999999,0.0,-6.852193196862269,-7.2990783909015375
27.png,0.09999999999999999,0.0,-6.845393388949104,-7.299035705047733
28.png,0.09999999999999999,0.0,-6.841993301302961,-7.299014351863093
29.png,0.09999999999999999,0.0,-6.821593388277902,-7.298886064190974
30.png,0.09999999999999999,0.0,-6.814793820140421,-7.298843254172203
31.png,0.09999999999999999,0.0,-6.797794072442581,-7.298736115266258
32.png,0.09999999999999999,0.0,-6.787593914824349,-7.298671721408711
33.png,0.09999999999999999,0.0,-6.777394516425676,-7.298607276125461
34.png,0.09999999999999999,0.0,-6.763795184141806,-7.298521280064874
35.png,0.09999999999999999,0.0,-6.750194828513072,-7.298435122098648
36.png,0.09999999999999999,0.0,-6.739995201339757,-7.298370462964784
37.png,0.09999999999999999,0.0,-6.729795770321492,-7.298305724004162
38.png,0.09999999999999999,0.0,-6.716195945463368,-7.298219335322487
39.png,0.09999999999999999,0.0,-6.716195945463368,-7.298219335322487
40.png,0.09999999999999999,0.0,-6.7127958387063895,-7.298197685675133
41.png,0.09999999999999999,0.0,-6.709395763268642,-7.2981760548603845
42.png,0.09999999999999999,0.0,-6.7059957785038335,-7.298154430647181
43.png,0.09999999999999999,0.0,-6.699196085535892,-7.298111147751657
44.png,0.09999999999999999,0.0,-6.688996602309641,-7.298046155588744
45.png,0.09999999999999999,0.0,-6.671996781272878,-7.297937702849896
46.png,0.09999999999999999,0.0,-6.658396966259282,-7.297850821789024
47.png,0.09999999999999999,0.0,-6.648197444079091,-7.297785570744959
48.png,0.09999999999999999,0.0,-6.634597779885351,-7.297698512260828
49.png,0.09999999999999999,0.0,-6.624397629254263,-7.297633103177305
50.png,0.09999999999999999,0.0,-6.614198048351785,-7.297567664713481
51.png,0.09999999999999999,0.0,-6.600598640155536,-7.297480305274216
52.png,0.09999999999999999,0.0,-6.583598607940884,-7.2973709257344765
53.png,0.09999999999999999,0.0,-6.580198682819768,-7.2973490359118545
54.png,0.09999999999999999,0.0,-6.566599259515842,-7.297261365834848
55.png,0.09999999999999999,0.0,-6.55299970986483,-7.297173648399995
