image,velocity,angular_velocity,x,y
0.png,0.0,-0.1,0.9997999731339917,0.003328937884185173
1.png,0.0,-0.1,0.999751364224578,0.0034108234101540244
2.png,0.0,-0.1,0.9997050762782633,0.003503807451766294
3.png,0.0,-0.1,0.9996640925368468,0.0036021976118555074
4.png,0.0,-0.1,0.9996345206172988,0.003685760947451064
5.png,0.0,-0.1,0.999606214924891,0.003778976334974866
6.png,0.0,-0.1,0.9995781509353947,0.003889320063369354
7.png,0.0,-0.1,0.9995556648886043,0.003996187606599457
8.png,0.0,-0.1,0.9995368969903193,0.004105630107823386
9.png,0.0,0.1,0.9995559211122962,0.004351465327100454
10.png,0.0,0.1,0.9994710731535976,0.0042617111554373345
11.png,0.0,0.1,0.9993823901295358,0.00416196820007761
12.png,0.0,0.1,0.99927918931558,0.004037310330621475
13.png,0.0,0.1,0.9992042607852375,0.003939835177575383
14.png,0.0,0.1,0.9991301141513192,0.003838031766876986
15.png,0.0,0.1,0.9991096620489365,0.003793170370689054
16.png,0.0,0.1,0.9990914544777889,0.003741782993806198
17.png,0.0,0.1,0.9990749479595975,0.0036788920425357844
18.png,0.0,0.1,0.9990645314280177,0.0036234438634994083
19.png,0.0,0.1,0.9990565253985775,0.0035605334682351874
20.png,0.0,0.1,0.9990506486217928,0.003485225903940069
21.png,0.0,0.1,0.9990478989206298,0.00341550385657
22.png,0.0,0.1,0.9990473814636854,0.003338266350282917
23.png,0.0,0.1,0.999048947522261,0.0032634926421316163
24.png,0.0,0.1,0.9990525076972286,0.003181608478605969
25.png,0.0,0.1,0.988892047705154,0.7991033079096163
26.png,0.0,0.1,0.9888360602763885,0.7990178566322773
27.png,0.0,0.1,0.9888172081391896,0.7989718578983
28.png,0.0,0.1,0.9888006174028473,0.7989185670570043
29.png,0.0,0.1,0.9887884059708956,0.7988653953212699
30.png,0.0,0.1,0.9887793971927623,0.7988132484815422
31.png,0.0,0.1,0.9887714019272997,0.7987453457317301
32.png,0.0,0.1,0.988766955515605,0.7986781340628594
33.png,0.0,0.1,0.9887643355272494,0.7985889137278748
34.png,0.0,0.1,0.9887646427002444,0.7985156056681649
35.png,0.0,0.1,0.9887667979791995,0.7984401322609677
36.png,0.0,0.1,0.9887687383606382,0.7983537816725097
37.png,0.0,-0.1,0.9883638824548193,0.7984398328579861
38.png,0.0,-0.1,0.9882463198697391,0.7985467199945013
39.png,0.0,-0.1,0.9881323919796753,0.7986575009272789
40.png,0.0,-0.1,0.9880151233502209,0.7987801607831695
41.png,0.0,-0.1,0.9878991889292589,0.7989112909117756
42.png,0.0,-0.1,0.9878526342417964,0.7989688445620463
