image,velocity,angular_velocity,x,y
camera_image_0.png,0.0,0.0,-5.09999605821581,-7.1999993946195895
camera_image_1.png,0.0,0.0,-5.09999640111592,-7.199999394198788
camera_image_2.png,0.0,0.0,-5.099996588112215,-7.199999392838261
camera_image_3.png,0.01,0.0,-5.098491540442774,-7.199998840951458
camera_image_4.png,0.025,0.0,-5.0942669235928255,-7.199997214054989
camera_image_5.png,0.039999999999999994,0.0,-5.086484324918382,-7.199994090052355
camera_image_6.png,0.054999999999999986,0.0,-5.07462173453944,-7.19998922105162
camera_image_7.png,0.07,0.0,-5.05850957349924,-7.199982420489167
camera_image_8.png,0.08,0.0,-5.0417045705055035,-7.199975118251671
camera_image_9.png,0.08,0.0,-5.020127177354075,-7.199965451489197
camera_image_10.png,0.08,0.0,-4.990207234685992,-7.199951463613192
camera_image_11.png,0.085,0.0,-4.971010601988999,-7.199942138498405
camera_image_12.png,0.09,0.0,-4.94705228542851,-7.199930165699487
camera_image_13.png,0.095,0.0,-4.925475676334671,-7.199919053712477
camera_image_14.png,0.09999999999999999,0.0,-4.898627138528782,-7.199904911497519
camera_image_15.png,0.09999999999999999,0.0,-4.871427725993144,-7.199890152726275
camera_image_16.png,0.09999999999999999,0.0,-4.834027686596241,-7.1998690934238265
camera_image_17.png,0.09999999999999999,0.0,-4.810227236452177,-7.19985524339482
camera_image_18.png,0.09999999999999999,0.0,-4.766027288956896,-7.199828633846387
camera_image_19.png,0.09999999999999999,0.0,-4.738827453168036,-7.199811658275162
camera_image_20.png,0.09999999999999999,0.0,-4.715027525830347,-7.199796424472626
camera_image_21.png,0.09999999999999999,0.0,-4.687827303371097,-7.199778624190547
camera_image_22.png,0.09999999999999999,0.0,-4.657227592221228,-7.199758066914424
camera_image_23.png,0.09999999999999999,0.0,-4.619827713646263,-7.199732151526099
camera_image_24.png,0.09999999999999999,0.0,-4.592627570432571,-7.199712745757421
camera_image_25.png,0.09999999999999999,0.0,-4.565427404243468,-7.19969291054533
camera_image_26.png,0.09999999999999999,0.0,-4.5382276732985725,-7.199672651653159
camera_image_27.png,0.09999999999999999,0.0,-4.504227632956775,-7.199646635515466
camera_image_28.png,0.09999999999999999,0.0,-4.466827650171556,-7.199617245726455
camera_image_29.png,0.09999999999999999,0.0,-4.443027564532651,-7.19959808987554
camera_image_30.png,0.09999999999999999,0.0,-4.415827752701284,-7.199575814010256
camera_image_31.png,0.09999999999999999,0.0,-4.388627660558727,-7.199553065349632
camera_image_32.png,0.09999999999999999,0.0,-4.361427649008448,-7.199529844544594
camera_image_33.png,0.09999999999999999,0.0,-4.3342277263823705,-7.199506198753915
camera_image_34.png,0.09999999999999999,0.0,-4.303627737287935,-7.199479051830903
camera_image_35.png,0.09999999999999999,0.0,-4.279827771383903,-7.199457552323044
camera_image_36.png,0.09999999999999999,0.0,-4.249227842180526,-7.199429382257995
camera_image_37.png,0.09999999999999999,0.0,-4.218627877651536,-7.199400661514902
camera_image_38.png,0.09999999999999999,0.0,-4.191427793696559,-7.199374630117097
camera_image_39.png,0.09999999999999999,0.0,-4.164227896137219,-7.199348191506838
camera_image_40.png,0.09999999999999999,0.0,-4.140427861363206,-7.199324671996075
camera_image_41.png,0.09999999999999999,0.0,-4.109827872256935,-7.199293903541119
camera_image_42.png,0.09999999999999999,0.0,-4.086027899716282,-7.199269597130524
camera_image_43.png,0.09999999999999999,0.0,-4.058827931953222,-7.199241410773861
camera_image_44.png,0.09999999999999999,0.0,-4.031628084591407,-7.199212763990939
camera_image_45.png,0.09999999999999999,0.0,-4.007828050994766,-7.19918731629132
camera_image_46.png,0.09999999999999999,0.0,-3.9806279631482573,-7.19915781464548
camera_image_47.png,0.09999999999999999,0.0,-3.9568280567121725,-7.199131655004099
camera_image_48.png,0.09999999999999999,0.0,-3.922828103410924,-7.19909364865961
camera_image_49.png,0.09999999999999999,0.0,-3.895628033673879,-7.199062748974658
camera_image_50.png,0.09999999999999999,-0.05,-3.865028202333629,-7.199027477234431
camera_image_51.png,0.09999999999999999,-0.1,-3.837731368719911,-7.199045682835049
camera_image_52.png,0.09999999999999999,-0.1,-3.8102151956206165,-7.199510055868457
camera_image_53.png,0.09999999999999999,-0.15000000000000002,-3.786132409518363,-7.200464841446772
camera_image_54.png,0.09999999999999999,-0.2,-3.765797327400109,-7.201797789969386
camera_image_55.png,0.09999999999999999,-0.2,-3.724318379514621,-7.206488928690547
camera_image_56.png,0.09999999999999999,-0.2,-3.6968799670610886,-7.2113208679907705
camera_image_57.png,0.09999999999999999,-0.2,-3.666381865762947,-7.218403878609322
camera_image_58.png,0.09999999999999999,-0.2,-3.643003556332196,-7.2251137434576735
camera_image_59.png,0.09999999999999999,-0.2,-3.613480251135073,-7.2352764867266925
camera_image_60.png,0.09999999999999999,-0.2,-3.587820177066446,-7.245749148243115
camera_image_61.png,0.09999999999999999,-0.2,-3.562504024037994,-7.257630840487177
camera_image_62.png,0.09999999999999999,-0.2,-3.5260390722581625,-7.277676176129581
camera_image_63.png,0.09999999999999999,-0.2,-3.499948542496048,-7.293931039611971
camera_image_64.png,0.09999999999999999,-0.2,-3.4746374348689035,-7.311336318610127
